age,job,marital,education,housing,loan,deposit
26,services,single,secondary,no,no,yes
49,management,single,tertiary,no,no,yes
57,management,married,tertiary,no,no,yes
83,retired,married,primary,no,no,yes
61,management,married,tertiary,no,no,yes
64,retired,married,secondary,yes,no,yes
37,admin.,married,secondary,yes,yes,yes
68,retired,married,secondary,no,no,yes
71,retired,married,tertiary,no,no,yes
54,management,married,tertiary,no,no,yes
37,management,married,tertiary,no,no,yes
22,student,single,unknown,no,no,yes
44,management,married,tertiary,no,no,yes
37,entrepreneur,married,tertiary,no,yes,yes
72,self-employed,married,tertiary,no,no,yes
69,retired,divorced,primary,no,no,yes
41,blue-collar,married,secondary,no,no,yes
44,blue-collar,married,secondary,yes,no,yes
32,services,single,secondary,no,no,yes
79,retired,married,secondary,no,no,yes
33,technician,married,secondary,yes,no,yes
45,management,married,tertiary,no,no,yes
40,management,married,tertiary,yes,no,yes
42,entrepreneur,married,secondary,yes,no,yes
30,technician,single,secondary,no,no,yes
28,management,single,tertiary,yes,no,yes
58,housemaid,divorced,secondary,no,no,yes
39,admin.,divorced,secondary,yes,no,yes
31,blue-collar,married,secondary,yes,no,yes
45,admin.,married,unknown,no,no,yes
56,blue-collar,married,primary,no,no,yes
46,management,divorced,tertiary,no,no,yes
56,retired,married,secondary,no,no,yes
27,services,single,secondary,no,no,yes
30,unemployed,married,tertiary,no,no,yes
26,self-employed,single,tertiary,no,no,yes
35,unemployed,single,primary,no,no,yes
52,blue-collar,married,primary,no,no,yes
54,admin.,married,secondary,no,no,yes
41,entrepreneur,married,primary,no,no,yes
24,management,single,tertiary,no,no,yes
28,blue-collar,single,secondary,no,no,yes
62,management,married,tertiary,no,no,yes
52,technician,married,secondary,no,no,yes
23,services,single,secondary,no,no,yes
82,retired,married,primary,no,no,yes
63,retired,married,secondary,no,no,yes
32,admin.,married,secondary,yes,yes,yes
31,management,married,tertiary,no,no,yes
37,services,married,secondary,no,no,yes
40,technician,single,tertiary,no,no,yes
66,retired,married,secondary,no,no,yes
37,management,married,tertiary,no,no,yes
38,unemployed,married,primary,yes,no,yes
27,student,single,secondary,no,no,yes
58,retired,married,primary,no,no,yes
49,housemaid,married,primary,no,no,yes
31,management,single,secondary,yes,no,yes
31,management,single,tertiary,no,no,yes
38,student,married,unknown,no,no,yes
79,retired,married,primary,no,no,yes
71,retired,married,tertiary,no,no,yes
52,technician,married,tertiary,no,no,yes
55,management,married,unknown,no,no,yes
46,blue-collar,married,secondary,yes,no,yes
28,management,single,tertiary,no,no,yes
22,student,single,secondary,no,no,yes
49,management,single,tertiary,yes,no,yes
20,student,single,unknown,no,no,yes
19,student,single,primary,no,no,yes
34,blue-collar,single,primary,no,no,yes
73,management,married,tertiary,no,no,yes
27,management,single,tertiary,no,no,yes
59,blue-collar,divorced,primary,no,no,yes
25,student,single,tertiary,no,no,yes
44,entrepreneur,single,unknown,no,no,yes
28,management,single,tertiary,no,no,yes
25,management,single,tertiary,no,no,yes
28,management,married,tertiary,no,no,yes
52,admin.,married,secondary,yes,yes,yes
57,management,married,tertiary,no,no,yes
49,management,divorced,tertiary,no,no,yes
33,technician,married,tertiary,no,no,yes
47,technician,married,secondary,yes,no,yes
68,retired,married,secondary,yes,no,yes
40,technician,single,tertiary,yes,no,yes
46,management,married,tertiary,no,no,yes
29,technician,single,secondary,no,no,yes
55,management,divorced,tertiary,no,no,yes
30,self-employed,married,tertiary,no,no,yes
49,admin.,divorced,secondary,no,yes,yes
48,management,married,tertiary,no,no,yes
21,student,single,secondary,no,no,yes
45,admin.,married,secondary,no,no,yes
43,management,married,tertiary,no,no,yes
47,management,single,tertiary,no,no,yes
27,management,single,tertiary,no,no,yes
20,student,married,unknown,no,no,yes
37,unemployed,single,tertiary,no,no,yes
61,management,married,tertiary,no,no,yes
57,services,single,secondary,no,no,yes
40,management,married,tertiary,no,no,yes
53,admin.,divorced,secondary,yes,yes,yes
65,unknown,married,unknown,no,no,yes
67,retired,married,tertiary,no,no,yes
66,retired,married,tertiary,no,no,yes
67,management,married,tertiary,no,no,yes
57,retired,married,secondary,no,no,yes
38,admin.,married,tertiary,no,no,yes
56,management,divorced,tertiary,no,no,yes
46,management,married,tertiary,no,yes,yes
69,technician,married,secondary,no,no,yes
32,services,single,secondary,no,no,yes
72,retired,married,tertiary,no,no,yes
41,admin.,married,tertiary,no,no,yes
72,retired,married,primary,no,no,yes
33,unemployed,married,secondary,no,no,yes
37,admin.,married,secondary,no,no,yes
34,management,married,tertiary,yes,no,yes
44,admin.,single,secondary,no,no,yes
42,services,single,secondary,yes,no,yes
58,unemployed,married,secondary,yes,no,yes
34,technician,married,tertiary,no,no,yes
55,entrepreneur,divorced,secondary,yes,no,yes
71,retired,married,primary,no,no,yes
23,student,single,secondary,no,no,yes
60,management,single,tertiary,yes,no,yes
18,student,single,unknown,no,no,yes
54,technician,married,secondary,no,no,yes
59,retired,divorced,tertiary,no,no,yes
32,self-employed,single,tertiary,no,no,yes
61,self-employed,divorced,tertiary,no,no,yes
31,management,married,tertiary,no,no,yes
42,blue-collar,married,primary,yes,no,yes
42,unemployed,married,unknown,no,no,yes
42,services,single,tertiary,yes,no,yes
70,housemaid,divorced,primary,no,no,yes
57,technician,married,secondary,yes,no,yes
60,retired,married,secondary,no,no,yes
53,blue-collar,divorced,primary,no,no,yes
48,unemployed,divorced,secondary,no,no,yes
30,management,single,tertiary,no,no,yes
39,management,single,tertiary,yes,no,yes
42,technician,married,secondary,yes,no,yes
26,admin.,single,secondary,no,no,yes
46,management,married,tertiary,yes,yes,yes
40,admin.,single,secondary,yes,no,yes
39,admin.,married,secondary,yes,no,yes
58,self-employed,married,primary,yes,no,yes
42,blue-collar,married,secondary,yes,no,yes
31,services,single,secondary,no,no,yes
21,student,single,secondary,no,no,yes
35,self-employed,single,tertiary,no,no,yes
50,technician,divorced,unknown,no,no,yes
36,management,single,tertiary,yes,no,yes
75,retired,married,primary,no,no,yes
20,student,single,primary,no,no,yes
57,admin.,single,secondary,no,no,yes
41,management,married,tertiary,no,no,yes
59,technician,married,secondary,no,no,yes
36,management,married,tertiary,yes,no,yes
18,student,single,primary,no,no,yes
34,management,single,tertiary,yes,no,yes
55,management,married,primary,no,no,yes
33,blue-collar,single,secondary,no,no,yes
43,technician,married,tertiary,no,no,yes
34,services,married,secondary,no,no,yes
35,services,married,unknown,no,no,yes
43,technician,single,secondary,no,no,yes
74,retired,married,primary,no,no,yes
45,unemployed,divorced,primary,no,no,yes
38,blue-collar,married,secondary,yes,no,yes
32,management,single,tertiary,no,no,yes
29,admin.,single,tertiary,yes,no,yes
31,admin.,married,secondary,no,no,yes
50,services,married,secondary,no,no,yes
44,technician,divorced,secondary,no,no,yes
23,student,single,secondary,no,no,yes
56,management,married,tertiary,no,no,yes
76,retired,married,primary,no,no,yes
28,technician,single,secondary,no,no,yes
34,management,single,tertiary,no,no,yes
56,retired,married,primary,no,no,yes
45,management,single,tertiary,yes,no,yes
36,technician,single,secondary,no,no,yes
57,retired,single,tertiary,no,no,yes
49,technician,married,tertiary,no,no,yes
49,management,married,tertiary,no,no,yes
37,management,married,tertiary,no,no,yes
46,unemployed,single,tertiary,no,no,yes
26,admin.,single,secondary,no,no,yes
47,unemployed,married,secondary,no,no,yes
36,management,married,primary,no,no,yes
37,student,single,unknown,no,no,yes
62,management,married,tertiary,no,no,yes
26,blue-collar,single,secondary,no,no,yes
45,management,married,tertiary,no,no,yes
63,technician,married,secondary,yes,no,yes
25,management,single,tertiary,no,no,yes
60,retired,married,unknown,no,no,yes
44,management,married,tertiary,yes,no,yes
33,unemployed,single,tertiary,no,no,yes
39,entrepreneur,married,tertiary,yes,no,yes
46,blue-collar,married,unknown,yes,no,yes
42,admin.,married,primary,yes,no,yes
56,management,married,unknown,no,no,yes
82,retired,married,secondary,no,no,yes
77,retired,married,tertiary,no,no,yes
36,services,single,tertiary,no,no,yes
35,management,single,tertiary,no,no,yes
50,technician,married,secondary,yes,no,yes
62,retired,married,secondary,no,no,yes
26,management,single,tertiary,yes,no,yes
55,management,married,tertiary,no,no,yes
22,student,single,secondary,no,no,yes
30,student,single,secondary,no,no,yes
34,housemaid,married,tertiary,no,no,yes
31,management,married,tertiary,yes,no,yes
55,technician,married,secondary,no,yes,yes
49,technician,single,secondary,yes,no,yes
67,retired,divorced,tertiary,no,no,yes
43,admin.,married,secondary,no,no,yes
25,technician,single,tertiary,no,no,yes
59,retired,divorced,secondary,no,no,yes
44,admin.,married,secondary,no,no,yes
42,management,married,tertiary,no,no,yes
29,management,single,tertiary,no,no,yes
32,management,married,tertiary,no,no,yes
30,management,single,tertiary,no,no,yes
38,technician,married,secondary,no,no,yes
22,student,single,tertiary,no,no,yes
25,entrepreneur,single,tertiary,no,no,yes
34,self-employed,single,tertiary,no,no,yes
27,technician,single,tertiary,no,no,yes
35,management,single,tertiary,no,no,yes
45,housemaid,married,secondary,no,no,yes
42,management,married,primary,yes,no,yes
20,student,single,secondary,no,no,yes
60,admin.,married,secondary,no,no,yes
47,management,married,tertiary,no,yes,yes
25,student,single,secondary,no,no,yes
65,retired,married,secondary,no,yes,yes
50,technician,married,secondary,no,no,yes
22,student,single,secondary,no,no,yes
43,admin.,single,secondary,yes,no,yes
53,retired,divorced,tertiary,yes,no,yes
71,retired,divorced,secondary,no,no,yes
28,blue-collar,married,secondary,yes,no,yes
59,unemployed,married,secondary,no,no,yes
29,management,single,tertiary,no,no,yes
51,technician,married,secondary,no,no,yes
48,housemaid,married,tertiary,no,no,yes
37,blue-collar,married,primary,yes,no,yes
37,technician,married,tertiary,yes,no,yes
64,retired,married,tertiary,no,no,yes
69,retired,married,secondary,no,no,yes
36,management,married,tertiary,no,no,yes
43,services,married,secondary,no,no,yes
63,housemaid,married,primary,no,no,yes
70,retired,married,secondary,no,no,yes
60,technician,single,primary,no,no,yes
86,retired,divorced,primary,no,no,yes
72,retired,married,secondary,no,no,yes
60,retired,married,tertiary,no,no,yes
43,management,single,tertiary,yes,no,yes
57,management,divorced,unknown,no,no,yes
28,management,single,tertiary,yes,no,yes
36,blue-collar,single,secondary,yes,no,yes
66,retired,married,secondary,no,no,yes
33,technician,single,tertiary,no,no,yes
36,technician,single,secondary,yes,no,yes
29,technician,single,secondary,no,no,yes
62,unemployed,married,secondary,no,no,yes
34,blue-collar,married,secondary,yes,no,yes
29,unemployed,single,tertiary,no,no,yes
30,management,married,tertiary,yes,no,yes
32,technician,married,tertiary,yes,no,yes
39,blue-collar,single,primary,no,no,yes
55,admin.,divorced,secondary,no,no,yes
36,management,single,tertiary,no,no,yes
27,student,single,tertiary,no,no,yes
45,management,married,tertiary,yes,yes,yes
55,management,married,unknown,yes,no,yes
52,blue-collar,married,secondary,yes,no,yes
49,management,single,tertiary,no,no,yes
30,blue-collar,married,primary,yes,no,yes
39,management,married,tertiary,yes,no,yes
48,management,divorced,tertiary,yes,no,yes
36,management,married,tertiary,no,no,yes
27,admin.,married,secondary,no,no,yes
51,management,married,tertiary,no,no,yes
48,technician,married,secondary,yes,no,yes
70,retired,married,secondary,no,no,yes
63,retired,married,secondary,no,no,yes
34,services,single,secondary,yes,no,yes
46,admin.,married,tertiary,no,no,yes
31,self-employed,single,tertiary,no,no,yes
32,admin.,married,secondary,no,no,yes
40,unemployed,single,tertiary,no,no,yes
30,admin.,single,secondary,no,no,yes
55,management,married,primary,no,no,yes
57,management,divorced,tertiary,yes,no,yes
59,admin.,single,secondary,no,no,yes
26,technician,single,secondary,yes,no,yes
73,retired,married,unknown,no,no,yes
30,admin.,single,secondary,no,no,yes
64,retired,married,tertiary,no,no,yes
36,technician,married,tertiary,no,no,yes
55,admin.,married,secondary,no,no,yes
63,retired,married,tertiary,no,no,yes
52,technician,married,secondary,yes,no,yes
34,management,single,tertiary,no,no,yes
36,services,married,secondary,yes,no,yes
31,management,single,tertiary,no,no,yes
47,retired,single,primary,no,no,yes
50,admin.,married,tertiary,no,no,yes
70,retired,divorced,secondary,no,no,yes
18,student,single,unknown,no,no,yes
33,self-employed,married,secondary,no,no,yes
24,technician,single,secondary,no,no,yes
25,admin.,single,secondary,no,no,yes
26,management,single,tertiary,yes,no,yes
32,management,single,tertiary,no,no,yes
25,student,single,unknown,no,no,yes
58,management,married,tertiary,no,no,yes
42,management,married,tertiary,no,no,yes
30,blue-collar,single,secondary,no,yes,yes
76,retired,divorced,primary,no,no,yes
79,retired,married,secondary,no,no,yes
70,retired,married,primary,no,no,yes
30,management,single,tertiary,no,no,yes
60,retired,married,secondary,no,no,yes
51,unemployed,married,secondary,no,no,yes
71,retired,married,tertiary,yes,no,yes
31,management,single,tertiary,no,no,yes
32,admin.,single,secondary,yes,no,yes
34,management,married,tertiary,no,no,yes
28,admin.,single,secondary,yes,yes,yes
45,management,married,tertiary,no,no,yes
53,entrepreneur,married,primary,yes,no,yes
38,unknown,single,tertiary,no,no,yes
56,admin.,single,secondary,yes,no,yes
42,technician,married,secondary,no,no,yes
47,technician,married,secondary,yes,no,yes
73,retired,married,unknown,no,no,yes
46,blue-collar,married,secondary,yes,no,yes
73,retired,married,tertiary,no,no,yes
28,blue-collar,single,secondary,no,no,yes
46,management,married,tertiary,no,no,yes
74,retired,married,primary,no,no,yes
71,retired,divorced,tertiary,yes,no,yes
41,admin.,divorced,secondary,yes,yes,yes
73,retired,married,primary,no,no,yes
47,technician,divorced,secondary,no,no,yes
49,technician,divorced,tertiary,yes,no,yes
40,admin.,married,secondary,no,no,yes
57,blue-collar,married,primary,no,no,yes
50,housemaid,married,secondary,no,no,yes
34,blue-collar,married,secondary,no,no,yes
56,services,married,secondary,no,no,yes
32,technician,single,tertiary,no,no,yes
50,management,divorced,tertiary,no,no,yes
54,unemployed,divorced,secondary,no,no,yes
26,management,single,tertiary,no,no,yes
40,technician,married,tertiary,no,no,yes
29,management,single,tertiary,yes,no,yes
52,housemaid,married,primary,no,no,yes
38,technician,married,secondary,no,no,yes
46,management,married,tertiary,no,no,yes
26,management,single,tertiary,no,no,yes
25,management,single,tertiary,no,no,yes
70,retired,married,tertiary,no,no,yes
83,retired,married,primary,no,no,yes
43,management,divorced,tertiary,no,no,yes
45,blue-collar,married,secondary,no,no,yes
37,admin.,single,tertiary,yes,no,yes
71,retired,divorced,secondary,no,no,yes
27,management,single,tertiary,no,no,yes
47,admin.,married,secondary,no,no,yes
42,management,divorced,tertiary,no,no,yes
77,retired,divorced,secondary,no,no,yes
61,management,married,tertiary,no,no,yes
57,management,married,tertiary,no,no,yes
34,management,married,tertiary,yes,no,yes
40,blue-collar,married,secondary,no,no,yes
84,entrepreneur,married,secondary,no,no,yes
26,student,single,secondary,no,no,yes
37,technician,married,unknown,no,no,yes
47,management,married,tertiary,no,no,yes
37,management,single,tertiary,yes,no,yes
28,management,single,tertiary,no,no,yes
54,management,married,tertiary,no,no,yes
54,management,married,tertiary,no,no,yes
61,retired,married,secondary,no,no,yes
30,technician,single,secondary,no,no,yes
60,retired,married,primary,no,no,yes
44,management,married,unknown,no,no,yes
33,management,single,tertiary,no,no,yes
25,admin.,single,tertiary,no,no,yes
54,unknown,married,unknown,no,no,yes
24,blue-collar,single,secondary,yes,no,yes
36,technician,married,tertiary,yes,no,yes
58,retired,married,primary,no,no,yes
33,management,single,tertiary,no,no,yes
27,admin.,married,secondary,no,no,yes
60,admin.,divorced,secondary,no,no,yes
56,unemployed,married,secondary,no,no,yes
25,technician,single,secondary,no,yes,yes
21,student,single,secondary,no,no,yes
73,retired,divorced,secondary,yes,no,yes
67,management,divorced,tertiary,no,no,yes
51,entrepreneur,divorced,tertiary,no,no,yes
48,management,married,tertiary,yes,yes,yes
35,management,single,tertiary,no,no,yes
61,self-employed,divorced,tertiary,yes,no,yes
35,technician,single,tertiary,no,no,yes
36,admin.,divorced,secondary,no,no,yes
83,retired,single,primary,no,no,yes
50,management,married,primary,no,no,yes
66,housemaid,married,primary,no,no,yes
58,technician,married,primary,no,no,yes
30,management,single,tertiary,no,no,yes
54,blue-collar,married,primary,no,no,yes
26,admin.,single,secondary,no,no,yes
43,services,married,primary,yes,no,yes
40,unemployed,single,tertiary,no,no,yes
57,management,married,tertiary,no,no,yes
75,retired,married,secondary,no,no,yes
77,retired,married,tertiary,no,no,yes
31,management,married,tertiary,no,no,yes
22,services,single,secondary,no,no,yes
50,management,married,tertiary,no,no,yes
27,management,married,tertiary,no,no,yes
73,retired,married,unknown,no,no,yes
37,services,married,secondary,no,no,yes
44,technician,single,tertiary,no,no,yes
40,technician,married,secondary,no,no,yes
61,management,married,tertiary,no,no,yes
61,technician,divorced,secondary,no,no,yes
47,blue-collar,married,secondary,no,no,yes
47,services,single,unknown,no,no,yes
76,housemaid,divorced,primary,no,no,yes
30,student,single,tertiary,no,no,yes
39,technician,married,tertiary,no,no,yes
72,retired,married,primary,no,no,yes
77,retired,married,unknown,no,no,yes
36,technician,married,secondary,no,no,yes
65,retired,married,secondary,yes,no,yes
54,technician,married,secondary,no,yes,yes
46,admin.,single,secondary,yes,no,yes
28,management,single,tertiary,no,no,yes
61,management,married,tertiary,no,no,yes
53,housemaid,married,primary,no,no,yes
27,student,single,tertiary,no,no,yes
55,unemployed,divorced,secondary,no,no,yes
33,management,single,tertiary,no,no,yes
87,retired,divorced,primary,no,no,yes
57,management,married,tertiary,no,no,yes
33,self-employed,single,tertiary,yes,no,yes
51,technician,married,secondary,yes,yes,yes
76,retired,divorced,primary,no,no,yes
19,student,single,secondary,no,no,yes
33,admin.,married,tertiary,yes,no,yes
55,management,divorced,tertiary,no,no,yes
31,blue-collar,single,unknown,no,no,yes
92,retired,married,unknown,no,no,yes
30,technician,single,tertiary,no,no,yes
68,retired,single,tertiary,no,no,yes
41,technician,single,tertiary,no,no,yes
29,self-employed,married,secondary,no,yes,yes
27,blue-collar,single,secondary,no,no,yes
78,retired,married,unknown,no,no,yes
82,retired,married,primary,no,no,yes
29,technician,single,tertiary,no,no,yes
76,retired,married,tertiary,no,no,yes
38,management,married,tertiary,no,no,yes
60,technician,married,secondary,no,no,yes
33,services,divorced,secondary,yes,no,yes
43,blue-collar,married,secondary,no,no,yes
61,retired,married,secondary,no,no,yes
43,technician,single,unknown,no,no,yes
57,management,married,primary,no,no,yes
33,management,married,tertiary,no,no,yes
77,management,married,unknown,yes,no,yes
35,technician,single,secondary,no,no,yes
59,retired,married,primary,no,no,yes
76,retired,married,secondary,no,no,yes
73,retired,married,primary,no,no,yes
81,retired,married,primary,no,no,yes
41,unknown,single,unknown,no,no,yes
57,technician,married,secondary,no,no,yes
28,technician,single,unknown,yes,no,yes
38,blue-collar,single,secondary,no,no,yes
52,services,married,secondary,yes,no,yes
22,student,single,secondary,no,no,yes
53,unknown,married,primary,no,no,yes
60,admin.,married,unknown,yes,no,yes
56,management,married,secondary,no,no,yes
38,housemaid,divorced,secondary,no,no,yes
44,management,single,tertiary,no,no,yes
69,retired,divorced,secondary,no,no,yes
36,student,single,tertiary,no,no,yes
75,self-employed,married,unknown,no,no,yes
65,retired,married,primary,no,no,yes
64,retired,married,secondary,no,no,yes
30,admin.,single,secondary,yes,no,yes
57,housemaid,married,tertiary,no,no,yes
31,management,married,tertiary,yes,no,yes
36,management,married,tertiary,no,no,yes
64,management,married,tertiary,no,no,yes
54,technician,married,unknown,yes,no,yes
26,admin.,single,secondary,no,no,yes
51,self-employed,single,secondary,no,no,yes
72,retired,married,secondary,no,no,yes
30,management,married,tertiary,no,no,yes
60,blue-collar,married,primary,no,no,yes
30,management,single,tertiary,no,no,yes
66,retired,married,tertiary,no,no,yes
50,technician,married,secondary,no,no,yes
47,management,single,tertiary,no,no,yes
80,retired,married,primary,no,no,yes
61,management,married,tertiary,yes,no,yes
47,management,married,tertiary,no,no,yes
30,technician,single,secondary,no,no,yes
21,student,single,primary,no,no,yes
62,management,married,tertiary,no,no,yes
26,technician,single,secondary,no,no,yes
36,blue-collar,married,secondary,no,no,yes
87,retired,married,primary,no,no,yes
61,retired,married,primary,no,no,yes
70,retired,married,secondary,no,no,yes
60,management,married,tertiary,no,no,yes
41,services,married,tertiary,no,no,yes
22,student,single,secondary,no,no,yes
60,retired,divorced,secondary,no,no,yes
54,technician,married,secondary,no,yes,yes
35,self-employed,single,tertiary,no,no,yes
59,management,married,secondary,no,no,yes
29,student,single,unknown,no,no,yes
48,management,married,secondary,yes,yes,yes
37,management,married,tertiary,no,no,yes
36,management,single,tertiary,yes,no,yes
52,admin.,single,secondary,yes,no,yes
67,retired,divorced,secondary,no,no,yes
36,self-employed,married,tertiary,no,no,yes
64,management,married,unknown,no,no,yes
29,technician,single,secondary,no,no,yes
27,management,single,tertiary,no,no,yes
76,retired,married,primary,no,no,yes
34,management,married,tertiary,no,no,yes
54,technician,married,secondary,no,no,yes
67,retired,married,primary,no,no,yes
24,technician,married,secondary,yes,no,yes
53,admin.,married,secondary,no,no,yes
33,student,married,secondary,no,no,yes
24,student,single,tertiary,no,no,yes
32,management,single,tertiary,no,no,yes
60,self-employed,married,tertiary,no,no,yes
64,entrepreneur,married,tertiary,no,no,yes
35,management,single,tertiary,no,no,yes
24,student,single,secondary,no,no,yes
42,management,married,tertiary,no,no,yes
40,management,married,tertiary,no,no,yes
33,management,married,tertiary,yes,no,yes
71,housemaid,divorced,primary,no,no,yes
52,unemployed,married,secondary,no,no,yes
47,admin.,married,secondary,no,no,yes
49,management,married,primary,no,no,yes
26,management,single,tertiary,no,no,yes
40,management,married,tertiary,no,no,yes
32,technician,single,tertiary,no,no,yes
33,services,married,secondary,no,no,yes
35,management,married,tertiary,yes,no,yes
53,management,married,tertiary,no,no,yes
20,student,single,unknown,no,no,yes
44,self-employed,divorced,tertiary,yes,no,yes
21,student,single,secondary,no,no,yes
36,blue-collar,single,secondary,no,no,yes
31,management,single,tertiary,no,no,yes
42,technician,married,secondary,yes,no,yes
33,services,married,secondary,no,no,yes
29,management,single,tertiary,no,no,yes
30,unemployed,single,secondary,no,no,yes
32,management,married,tertiary,no,no,yes
54,unknown,married,secondary,no,no,yes
82,retired,divorced,tertiary,no,no,yes
47,management,married,tertiary,no,yes,yes
48,blue-collar,married,secondary,yes,no,yes
77,retired,divorced,secondary,no,no,yes
38,admin.,married,secondary,yes,no,yes
27,student,single,tertiary,no,no,yes
43,services,single,secondary,yes,no,yes
33,technician,married,secondary,no,no,yes
27,admin.,single,secondary,no,no,yes
76,retired,married,primary,no,no,yes
81,retired,married,primary,no,no,yes
71,retired,married,primary,no,no,yes
39,admin.,married,secondary,yes,no,yes
18,student,single,primary,no,no,yes
58,services,divorced,secondary,no,no,yes
44,technician,divorced,secondary,no,no,yes
67,retired,married,secondary,no,no,yes
31,services,single,secondary,no,no,yes
61,retired,married,secondary,no,no,yes
36,technician,single,secondary,no,no,yes
56,retired,married,primary,no,no,yes
24,student,single,secondary,no,no,yes
33,admin.,married,secondary,no,no,yes
34,blue-collar,single,unknown,yes,yes,yes
58,admin.,married,secondary,no,no,yes
64,retired,married,unknown,no,no,yes
27,blue-collar,single,secondary,no,no,yes
63,management,married,tertiary,no,no,yes
23,student,single,secondary,no,no,yes
37,technician,single,tertiary,no,no,yes
43,management,married,tertiary,no,no,yes
35,technician,married,tertiary,yes,no,yes
33,blue-collar,married,primary,no,no,yes
75,retired,married,tertiary,no,no,yes
40,admin.,married,tertiary,yes,no,yes
52,management,married,tertiary,no,no,yes
55,technician,divorced,tertiary,no,no,yes
71,retired,married,secondary,no,no,yes
78,retired,married,tertiary,no,no,yes
35,technician,married,secondary,yes,no,yes
52,technician,married,secondary,no,no,yes
31,management,single,tertiary,no,no,yes
31,admin.,single,secondary,no,no,yes
38,management,married,unknown,no,no,yes
28,student,single,secondary,no,no,yes
72,retired,married,secondary,no,no,yes
29,admin.,single,secondary,yes,no,yes
46,housemaid,married,secondary,no,no,yes
53,technician,married,secondary,yes,yes,yes
58,technician,married,secondary,no,no,yes
22,student,single,tertiary,no,no,yes
28,admin.,married,secondary,no,no,yes
31,technician,married,secondary,no,no,yes
26,blue-collar,single,tertiary,no,no,yes
60,retired,divorced,tertiary,yes,no,yes
29,technician,single,secondary,no,no,yes
36,admin.,divorced,tertiary,no,no,yes
68,retired,married,tertiary,no,no,yes
48,management,married,tertiary,no,no,yes
53,unemployed,married,primary,yes,no,yes
39,technician,married,secondary,no,no,yes
28,services,single,secondary,no,no,yes
72,retired,married,unknown,no,no,yes
29,management,single,tertiary,no,no,yes
26,student,single,tertiary,no,no,yes
49,management,married,tertiary,no,no,yes
43,management,single,tertiary,no,no,yes
28,student,single,unknown,no,no,yes
44,admin.,single,secondary,yes,no,yes
73,retired,divorced,primary,no,no,yes
39,management,married,tertiary,no,no,yes
29,student,single,secondary,no,no,yes
31,technician,married,secondary,yes,no,yes
30,student,single,secondary,no,no,yes
50,admin.,married,secondary,yes,no,yes
42,management,married,tertiary,no,no,yes
37,admin.,married,secondary,yes,no,yes
49,technician,married,secondary,no,no,yes
59,unemployed,married,secondary,no,no,yes
80,retired,married,primary,no,no,yes
86,retired,single,secondary,no,no,yes
69,retired,married,unknown,no,no,yes
79,retired,married,secondary,no,no,yes
36,services,married,secondary,no,no,yes
49,management,married,tertiary,no,no,yes
69,retired,married,secondary,yes,no,yes
66,retired,married,unknown,no,no,yes
32,management,divorced,tertiary,yes,no,yes
47,management,single,tertiary,no,no,yes
58,management,married,tertiary,no,no,yes
64,retired,married,primary,no,no,yes
72,retired,married,primary,no,no,yes
79,retired,married,primary,no,no,yes
30,technician,married,secondary,no,no,yes
36,management,married,tertiary,no,no,yes
53,entrepreneur,married,tertiary,no,no,yes
34,management,married,tertiary,no,no,yes
29,student,single,secondary,no,no,yes
29,management,single,tertiary,no,no,yes
81,retired,divorced,secondary,no,no,yes
57,retired,married,secondary,no,no,yes
72,retired,married,secondary,no,no,yes
34,services,married,secondary,no,no,yes
57,management,divorced,unknown,no,no,yes
66,housemaid,married,primary,no,no,yes
27,student,single,secondary,no,no,yes
50,management,married,tertiary,yes,no,yes
75,retired,divorced,secondary,no,no,yes
50,services,married,secondary,no,no,yes
32,admin.,single,secondary,yes,no,yes
59,retired,married,primary,no,no,yes
68,retired,married,secondary,no,no,yes
31,technician,married,tertiary,yes,no,yes
64,self-employed,married,tertiary,no,no,yes
30,unemployed,divorced,secondary,no,no,yes
60,admin.,married,secondary,no,no,yes
35,management,single,tertiary,no,no,yes
72,retired,married,primary,no,no,yes
30,blue-collar,married,primary,no,no,yes
52,unemployed,divorced,secondary,no,no,yes
33,management,married,tertiary,no,no,yes
84,retired,married,secondary,no,no,yes
43,management,married,tertiary,no,no,yes
39,technician,single,tertiary,yes,no,yes
25,technician,married,tertiary,no,no,yes
38,admin.,married,secondary,no,no,yes
44,management,married,unknown,no,no,yes
20,student,single,unknown,no,no,yes
32,management,single,tertiary,yes,no,yes
23,services,single,secondary,no,no,yes
35,unemployed,married,secondary,no,no,yes
61,management,married,secondary,no,no,yes
46,management,divorced,tertiary,no,no,yes
70,retired,married,primary,no,no,yes
25,technician,single,secondary,no,yes,yes
57,retired,married,secondary,no,no,yes
55,admin.,married,secondary,no,no,yes
33,management,married,tertiary,yes,no,yes
73,retired,married,primary,no,no,yes
34,unemployed,single,secondary,no,no,yes
31,technician,single,secondary,no,no,yes
25,blue-collar,single,secondary,no,no,yes
30,technician,married,tertiary,no,no,yes
28,self-employed,single,tertiary,no,no,yes
21,student,single,secondary,no,no,yes
87,retired,married,primary,no,no,yes
22,student,single,secondary,no,no,yes
28,self-employed,single,tertiary,no,no,yes
31,unemployed,married,tertiary,no,no,yes
60,retired,married,secondary,no,no,yes
41,technician,single,unknown,yes,no,yes
24,student,single,secondary,no,no,yes
54,management,divorced,tertiary,no,no,yes
35,technician,single,tertiary,no,no,yes
70,retired,divorced,primary,no,no,yes
62,blue-collar,married,secondary,no,no,yes
